text,user,location
RT @KenRoth: The coronavirus pandemic was an opportunity for the Hong Kong government to rededicate itself to serving the Hong Kong people.…,ECheung16,
#lockdownextension UK have a highest death in Europe! I do not understand why the government is not extending the lock down! Do they want more people die from Covid-19?                     https://t.co/uZkYJ378Sh,Aygulerce,"London, England"
"RT @RealCandaceO: In light of the discovery that @GovNedLamont counted an infant suffocation toward his state’s #coronavirus death total, I…",TheUnsilentMaj3,Weekend in New England
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",Jennife65394607,"Georgia, USA"
RT @CMichaelGibson: 15 children hospitalized in NYC with symptoms consistent with Kawasaki disease; could be linked to coronavirus COVID-19…,odordoc1upton,
"RT @DanMartinTalks: According to Trump, he has done a good job if there are no coronavirus cases, close to zero cases, very few deaths, les…",cksmart5,
"RT @Refugees: Fight prejudice. 💪
Fight coronavirus. 🦠

Here’s how you can join the fight against the COVID-19 pandemic: https://t.co/zR3SwS…",Jameskharl3,
"RT @BernieSanders: At a time when his own administration is predicting a significant increase in COVID-19 cases, our ""stable genius"" presid…",GlennaThill,"South Dakota, USA"
"RT @karol: Nursing homes in NY were forced to admit patients who had tested positive, or who were suspected of having, COVID-19. How is thi…",CitizenSe7en,Oceania
"RT @Reuters: Colombia extends COVID-19 lockdown to May 25, additional sectors to start re-opening https://t.co/76WjVE1HW2 https://t.co/i9b0…",wndynabila,"Depok, Jawa Barat"
"RT @BernieSanders: At a time when his own administration is predicting a significant increase in COVID-19 cases, our ""stable genius"" presid…",JanJanbirk,victoria/ Melbourne
RT @SoniMishra20: Boost spending by cash transfer to the bottom 60 pc population... Easiest way to revive the economy hit by COVID-19: Nobe…,MHamza_90,
"RT @BernieSanders: At a time when his own administration is predicting a significant increase in COVID-19 cases, our ""stable genius"" presid…",LailianiN,
RT @IngrahamAngle: Gates should run for president.  He wants to run your lives...New York will work with the Gates Foundation to develop a…,JudyWal27949520,
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",lysamah,New Orleans LA
"Two cops contract #Covid_19 after arresting twice deported Illegal alien 
https://t.co/y0uJGeIKoF",BrklynIsaac,Brooklyn N.Y.
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",dan_pericles,"Haddonfield, NJ"
"RT @yashar: Israel has isolated a key coronavirus antibody at its main biological research laboratory, the Israeli defence minister said on…",antonia___maino,
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",twilover76,under Jamie's kilt
RT @TIME: Dermatologists around the world are gathering data on what may be largely overlooked symptoms of COVID-19: skin conditions rangin…,Trading_FnO,
RT @13wmaznews: John Cena surprises 7-year-old Florida fan battling cancer amid COVID-19 pandemic https://t.co/Qi4ICqLxhE,cowboycape,"Georgia, USA"
RT @KamalaHarris: Native American tribes like the Navajo Nation are contracting coronavirus at disproportionately high rates. The Treasury…,SoftyGMB,Michigan
"Coronavirus In Pittsburgh: Researcher Killed In Apparent Murder-Suicide Was Close To ‘Making Very Significant Findings’ Related To COVID-19

https://t.co/BqocN4tcHn",Tinman1295,United States
"RT @LisaMarieBoothe: In NYC, the epicenter of the coronavirus, the death rate for 18-44 yrs-old is 0.016% &amp; hospitalization rate is 0.18%.…",guyddog,"Plymouth, MN"
"This hellscape. 45 coronavirus cases in Vic are linked to this meatworks; one case only diagnosed when the worker presented to hospital with a severed thumb. We're headed for the Singapore scenario, COVID-19 raging through a vast underclass of migrant workers https://t.co/cAzN4wGwRK",qianjinghua,"Melbourne, Victoria"
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",Thoreaus_Horse,United States
"RT @mmpadellan: With 71,000 dead from coronavirus, inadequate testing and supplies, it seems a bad idea to rush to reopen the country.

How…",AEHom8888,
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",ShantaAyub,"Wedgefield, FL"
RT @thehill: Trump ready to turn page on coronavirus despite crisis-level cases https://t.co/AXS60uD7ku https://t.co/sqtp1fCYd5,brettaboyles,"Aurora, CO"
RT @KamalaHarris: Native American tribes like the Navajo Nation are contracting coronavirus at disproportionately high rates. The Treasury…,lobo_lyriam,Canada
"RT @azcentral: JUST IN: The Arizona Department of Health Services told a team of university experts working on COVID-19 modeling to ""pause""…",AmysandersonAmy,Upstate NY
"COVID-ALERT: ‘We weren’t sure we were going to get him through’: Addison
man stricken by COVID-19 discharged after 44 days in the
hospital - Global Pandemic News | #Coronavirus #COVID19 - https://t.co/kOviSSdIzA https://t.co/KEIpE5E2J1",GlobalPandemics,WORLDWIDE
Pro-Trump OAN pushes wild conspiracy theory that novel coronavirus was created in a North Carolina lab https://t.co/mAwF3Ka5ro,SteveQin5,"Regina, SK"
"RT @MaddowBlog: ""More than 1,600 workers at four Iowa meatpacking plants have been infected with the coronavirus, state health officials re…",AMGraham614,United States
"RT @BernieSanders: At a time when his own administration is predicting a significant increase in COVID-19 cases, our ""stable genius"" presid…",aFathersLog,United States
"twitter news about the coronavirus feels like when you get those notifcations in Plague Inc
“human trials have begun for covid-19”",ginacperkins,"Houston, TX"
"RT @wdunlap: @LisaMei62 How many Americans will lose their lives due to anti-Trump war on hydroxychloroquine?
GREAT SUCCESS at Texas nursin…",quellechutzpah,Where I am is home.
RT @thehill: Trump says Fauci and Birx will still be involved in coronavirus efforts https://t.co/NhGG37p88O https://t.co/zhdh1ICl2r,RobertCettl,
"RT @FlyingEagle555: President Trump was quoted saying about the COVID-19 virus ""I can tell you that there's significant amount of evidence…",travelgirl22059,United States
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",KateBreckenridg,
RT @wdunlap: Our Government is inflating the numbers PAYING HOSPITALS MORE if patients listed COVID-19 -3 times more if placed on ventilato…,ksmith6469,"Sequim, WA"
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",dontbeinsane_,right here
"More APT(Advanced persistent Threat) groups, probably China trying to steal information, possibly for a vaccine but could be other nations involved also.

Coronavirus: Rival states targeted UK and US COVID-19 labs with 'malicious cyber campaigns' https://t.co/ex2BeSWUFn",George_Of_FL,
"RT @SpeakerPelosi: Everyone, young and old, needs to act now to slow the spread of COVID-19.  The best thing Americans can to do fight coro…",roxanecollins12,
"RT @jasonwalters85: ""Scientists have identified a new strain of the coronavirus that has become dominant worldwide and appears to be more c…",Zenith07958604,
"RT @ColorOfChange: Black health care workers on the front lines understand that racism is one of #COVID19's major complications, exacerbate…",_MsRazi,
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",SudySAS,
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",scrnjd,
"🇺🇸 Today American🦠Predictions  (in Millions)

It's slowed down a little bit, but not much !

2 Million Infected by 22 May 2020

I am sourcing data from https://t.co/qyAKhfk304

#CoronavirusUSA #CoronaVirusUpdate #Predictions 
#America #infections #Covid_19 https://t.co/7TgrUrZRXc",DunkenKBliths,✔ Official Twitter Account
RT @RandPaul: Modern medicine shows us that immunity is based on having antibodies. Why do they think medicine is trying so hard to get a c…,burneracct56,Texas
"RT @FI_Living: Silence the data scientists. That’ll stop this ¯\_(ツ)_/¯ 

AZ state health department tells university COVID-19 modeling tea…",YouCanFoolMost,"Boise, ID"
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",AuntyAlias,"San Francisco, CA, USA"
"RT @BernieSanders: At a time when his own administration is predicting a significant increase in COVID-19 cases, our ""stable genius"" presid…",rkdoctr,B612
"RT @BernieSanders: At a time when his own administration is predicting a significant increase in COVID-19 cases, our ""stable genius"" presid…",Charlie59200281,
RT @KamalaHarris: Native American tribes like the Navajo Nation are contracting coronavirus at disproportionately high rates. The Treasury…,VozdeRaquel,Milky Way galaxy
RT @thehill: World leaders fall short of funding goal for coronavirus vaccine as US and Russia noticeably refuse to participate https://t.c…,AmertatD,
"RT @3amart: More and more people are waking up. The pres of Tanzania is woke check this out: 
He allowed Covid-19 testing kits into the cou…",roseHigson1,
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",CyrilDeLaPerri2,"South Lyon, MI"
"Silence the data scientists. That’ll stop this ¯\_(ツ)_/¯ 

AZ state health department tells university COVID-19 modeling team to stop work, limits data access https://t.co/mCRykcLunk",FI_Living,"California, USA"
"RT @MollyJongFast: Wait, wut? Why?  https://t.co/jBmemrRlts",ursomoneyhoney,"Colorado, USA"
